dataset_version,date_modified,slug,app_name,buying_pull,guide_url,pricing_note_url,official_url,free_start,first_paid_wall,has_stable_numeric_price,price_confidence,base_price_signal,planning_low,planning_expected,planning_high_risk,included_credits_or_tokens,variable_spend_trigger,media_cost_notes,cancellation_check,refund_check,data_deletion_check,privacy_check,billing_descriptor_check,best_next_step,last_checked,testing_status,source_count,source_urls,citation,license_url
2026-07-16,2026-07-17,candy-ai,Candy AI,Locked media,https://companioncost.com/guides/candy-ai-before-you-pay/,https://companioncost.com/pricing/candy-ai/,https://candy.ai/,"The current official page offers a free-account start, but does not publish a reliable free-media allowance in the visible plan table. Do not assume a free trial or premium-media access without checking the live flow.","Subscription, then tokens for image, voice, or other extended features",true,Current public numeric plan prices verified; final checkout still controls,"Visible 2026-07-15 subscription page shows $13.99 monthly, $26.97 billed quarterly, $47.88 billed yearly, $9.79 every two weeks, and $5.60 weekly.",$0-$13.99,$13.99-$35,$50-$100+,"Official terms say a paid subscription includes unlimited messaging plus a monthly token amount disclosed at checkout, generally 100 per month, for extended features such as image generation or voice notes.","More detailed companion creation, image, voice, video, and token top-ups may change real 30-day cost.","Official public page presents chat, voice, image, and video as supported media. Treat visual-heavy use as a cost that can change until exact limits are verified.",Official terms and help center say subscription details are under My Profile / Settings and cancellation is through Settings / Unsubscribe. Access remains active until the end of the current billing period.,"Official terms describe a 24-hour refund request window for subscription/non-token purchases, denial if more than 20 tokens were used, separate token-purchase limits, card-purchase limits, and EU/UK withdrawal rules. Verify the exact current terms before relying on a refund.","Official privacy notice says users may request deletion of personal data; account data is generally retained for a period after account closure unless deletion is requested, while financial/transactional data may be retained longer for legal obligations.","Official privacy notice lists account, content, payment, token-balance, moderation, and retention categories. Review it before uploading sensitive images or personal details.","Official public FAQ says transactions use a neutral merchant name, but this should be verified from checkout or receipt.","Run the 30-day calculator with image-heavy settings, then check official pricing.",2026-07-15 official subscriptions page rechecked; paid hands-on test: not completed yet,Paid hands-on test: not completed yet.,6,https://candy.ai/ | https://candy.ai/legal-information | https://everai.zendesk.com/hc/en-us/articles/31412787067289-How-do-I-cancel-my-subscription | https://candy.ai/terms-of-service | https://candy.ai/privacy-policy | https://candy.ai/subscriptions,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
2026-07-16,2026-07-17,nomi-ai,Nomi,Memory and continuity,https://companioncost.com/guides/nomi-ai-before-you-pay/,https://companioncost.com/pricing/nomi-ai/,https://nomi.ai/,Official homepage rechecked 2026-07-15 says it is free to start chatting with no credit card required; exact free limits still need product check.,"Paid plan, then virtual-credit add-ons after upgrade",true,Current US App Store numeric plan prices verified; web checkout still needs confirmation,Standard Plan $15.99; Quarterly $39.99; Yearly $99.99. Legacy Launch Plan Monthly $9.99 and Yearly $59.99 also appear in App Store IAP.,$0-$15.99,$15.99-$25.98,$35.98-$115.98+,"Official terms mention free access, fee-based upgrades, and one-time add-ons acquired with virtual credits after upgrade. Exact current allowances still need product check.","Paid features, group chats, video creation, voice messaging/calls, and virtual-credit add-ons may affect cost.",Model the plan as memory-first until official media limits are verified.,"Official cancellation policy says users must cancel through the platform where they purchased: web, Google Play, or Apple App Store. Deleting the app does not cancel the subscription.","Official refund policy says payments are generally nonrefundable for buyer remorse, lack of usage, dissatisfaction, partial months, downgrades, or unused time, with possible discretionary exceptions.","Official privacy policy says account deletion through Account Settings deletes personal information within about 28 days after confirmation, subject to applicable limits and archived communications.",Memory-first use can involve sensitive context. Review the terms and privacy policy before entering private details or media.,Verify from checkout or payment receipt.,"Compare memory fit against media-heavy alternatives, then verify current billing terms.",2026-07-15 homepage and US App Store pricing rechecked; policy sources checked through 2026-06-30; paid hands-on test: not completed yet,Paid hands-on test: not completed yet.,6,https://nomi.ai/ | https://nomi.ai/terms-of-service/ | https://nomi.ai/cancellation-policy/ | https://nomi.ai/refund-policy/ | https://nomi.ai/privacy-policy/ | https://apps.apple.com/us/app/nomi-ai-companion-with-a-soul/id6450270929,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
2026-07-16,2026-07-17,kindroid,Kindroid,Deep character and world building,https://companioncost.com/guides/kindroid-before-you-pay/,https://companioncost.com/pricing/kindroid/,https://kindroid.ai/,"Official subscriptions help says free users get unlimited Lite messages, two Kindroids, limited selfies, and basic memory. A separate 3-day premium trial requires a payment method and auto-converts if not cancelled.","Standard subscription, premium-trial conversion, then Ultra or MAX add-ons",true,Current official web and app-store numeric prices verified; trial and add-ons still matter,Standard direct web $13.99/month or $139.99/year; app store $15.99/month or $159.99/year.,$13.99-$15.99,$13.99-$44.98,$98.97-$113.97+,"Official subscriptions help page lists subscriber perks including latest model access, multiple Kindroids, group chat, more selfies, custom voices, internet/link sharing, image sending, and complimentary audio credits; exact limits can change by tier.","Standard subscription, Ultra/MAX add-on tiers, higher memory capacity, media features, selfie/audio usage, and app-store versus direct-web billing can change effective cost.","Official subscriptions help page describes selfie features, voice, custom voices, video avatars/selfies, image sending, and complimentary audio credits for subscribers or add-on tiers. Verify tier limits before heavy media use.",Official subscriptions help page says web subscriptions can be updated or canceled from Billing in settings; iOS and Android subscriptions are managed through the relevant app-store settings.,"Official subscriptions help page says refunds are considered case by case, generally not offered, and sales are final, while Kindroid reserves discretion to issue refunds.",Official legal/privacy page was checked for privacy-rights and disclosure categories. The exact in-app account deletion or data request route still needs product or support-path confirmation before stronger claims are used.,"Official legal/privacy page describes personal data categories, service providers, analytics providers, privacy rights, and account termination language. Review the current legal page and in-app settings before sharing sensitive details.",Verify from checkout or payment receipt.,"Check plan limits and add-ons, then compare against Nomi and Replika.",2026-07-15 official subscriptions pricing refreshed; legal/privacy source checked 2026-07-03; paid hands-on test: not completed yet,Paid hands-on test: not completed yet.,2,https://kindroid.ai/ | https://kindroid.ai/docs/article/subscriptions/,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
2026-07-16,2026-07-17,replika,Replika,Daily companion habit,https://companioncost.com/guides/replika-before-you-pay/,https://companioncost.com/pricing/replika/,https://replika.com/,Official terms list Free Use as a limited-access free-of-charge program.,"Paid subscription tier, then optional gems or feature-specific purchases",false,"Current store price signals found, but exact tier mapping still needs checkout confirmation",App Store IAP lists monthly products at $7.99 and $14.99; exact tier mapping needs checkout confirmation.,$0-$14.99,$14.99-$34.98,$49.99-$109.98+,"Official terms list Replika Pro, Ultra, and Platinum as paid subscription programs with feature differences; exact current limits/prices need app/store check.","Subscription tier, app marketplace billing, premium activities, selfies/image generation, voice messaging, background calls, and higher-tier features should be checked before purchase.","Official terms list selfies/image generation and voice messaging under Pro, and realistic selfie videos/video recognition under Platinum. Verify current in-app limits.","Official help says subscriptions renew automatically unless canceled in advance and must be canceled through the same platform used to subscribe, including in-app/web, Google Play, or Apple App Store routes.",Official refund help says Replika digital subscription purchases are generally final once payment is completed; Apple App Store and Google Play purchases are handled by those platforms.,"Official privacy policy says users can delete their account in account settings and request deletion of personal data, including sensitive information handling described in the policy.",Official privacy policy says users are strongly encouraged not to share special categories of sensitive personal data and describes deletion request rights and provider deletion instructions.,Verify from checkout or payment receipt.,Verify cancellation route for your signup platform before subscribing.,"2026-07-03 official help, terms, and privacy sources checked; paid hands-on test: not completed yet",Paid hands-on test: not completed yet.,6,https://replika.com/ | https://help.replika.com/hc/en-us/articles/360032500012-How-to-cancel-your-subscription | https://help.replika.com/hc/en-us/articles/37121950896909-Refund-Policy | https://replika.com/legal/privacy | https://apps.apple.com/us/app/replika-my-ai-friend/id1158555867 | https://replika.com/legal/terms,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
2026-07-16,2026-07-17,heygf,HeyGF,Build-your-type controls,https://companioncost.com/guides/heygf-before-you-pay/,https://companioncost.com/guides/heygf-before-you-pay/,https://heygf.ai/,"HeyGF's official homepage checked 2026-07-15 says basic conversations are free with no credit card required. Premium photos, videos, and enhanced intimate chat require a subscription.","Paid plan tier, then coins for premium photos, video, or enhanced chat",true,Current official numeric plan and coin allowances verified; action-level coin use still needs product check,"Official About page checked 2026-07-15 lists Casual $9.99/month with 150 coins, Closer $19.99 with 350 coins, and Exclusive $39.99 with 800 coins.",$8.33 annual equivalent or $9.99 monthly,$19.99-$39.99,$39.99-$80+,"Official About page lists 150 coins/month on Casual, 350 on Closer, and 800 on Exclusive. Verify exactly which photo, video, and premium-content actions consume coins before paying.","Customization features, media generation, credits, upgrades, renewals, and checkout add-ons may change real 30-day cost.",Treat as a customization-led adult companion candidate. Keep Companion Cost SFW and verify media pricing before making stronger claims.,"Official terms say subscriptions auto-renew until canceled and can be canceled through account settings, with access continuing until the current billing period ends.","Official terms say partial subscription periods and one-time purchases such as coin packs or custom media are generally not credited or refunded, with exceptional cases handled at provider discretion.","Official privacy policy says users may request access, correction, or deletion of personal data through the stated contact route, subject to applicable limits.","Official privacy policy lists account, payment, messages, AI responses, images/media, preferences, device, usage, and log data. Review training, retention, and opt-out/account-setting language before uploading photos or private details.",Verify from checkout or payment receipt.,"Use the Cost & Subscription Hub first, then check HeyGF official terms and checkout before paying.",2026-07-15 official homepage and About pricing refreshed; terms/privacy checked 2026-07-01; paid hands-on test: not completed yet,Paid hands-on test: not completed yet.,5,https://heygf.ai/pricing | https://heygf.ai/about | https://heygf.ai/ | https://heygf.ai/privacy | https://heygf.ai/terms,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
2026-07-16,2026-07-17,girlfriendgpt,GirlfriendGPT,Short free chat before the limit,https://companioncost.com/guides/is-girlfriendgpt-worth-it-before-you-pay/,https://companioncost.com/guides/is-girlfriendgpt-worth-it-before-you-pay/,https://www.gptgirlfriend.online/,"Official terms checked 2026-07-15 say core services are available at no charge. They give an example of up to 2 or 3 characters and about 10 to 20 messages in total before chat stops, with some additional free credits available through specified tasks.","Free-message limit, then subscription tier and monthly message credits",false,Official free and paid credit structure verified; current numeric checkout price not verified,"Official GirlfriendGPT terms checked 2026-07-15 describe a limited free core and paid subscriptions, but no exact current public checkout price was verified.",$0 limited start,Verify live upgrade screen,Tier and extra-credit dependent,"Official terms give an example of about 10 to 20 total messages for free users. Paid subscriptions include 5,000 to 20,000 message credits per month depending on tier; credits reset monthly and do not roll over.","The first clear spend trigger is reaching the free message limit. More characters, continued chat, a higher monthly credit allowance, and additional credits can move the user into paid access.","GirlfriendGPT presents character, image, and adult roleplay features, but exact current image, voice, or video credit charges were not verified on a public price page. Check the in-product meter before treating the subscription as all-inclusive.",Official terms say recurring billing can be stopped from the account manage-subscription page before the next billing cycle. They also describe CCBill cancellation; cancellation stops future rebilling but does not refund the unused part of the current cycle.,"Official terms say paid subscriptions are generally not refunded. Limited exceptions may be considered for provider error or technical issues; CCBill purchases follow that processor's route, while other requests go to GirlfriendGPT support and are reviewed case by case.","Official privacy wording provides access, restriction, consent-withdrawal, and erasure rights, but also says personal information is usually retained for six years after account closure and that erasure requests may be limited for legal reasons.","Official privacy wording covers account details, discussions with AI companions, usage, browser and location data, cookies, communications, moderation, service providers, and marketing analysis. It says account data is usually retained for six years after closure, so account deletion should not be described as immediate total deletion.",Verify the descriptor on checkout and the receipt. Official terms name CCBill and TrustPay in recurring-transaction cancellation language but do not publish one universal statement descriptor.,"Use the limited free messages to test fit, then capture the exact live upgrade price, billing period, monthly credits, renewal date, processor, and cancellation route before paying.","2026-07-15 official GirlfriendGPT terms, privacy, homepage identity, and public CrakRevenue offer checked; paid hands-on test not completed",Paid hands-on test: not completed yet.,2,https://www.gptgirlfriend.online/legal/terms | https://www.gptgirlfriend.online/legal/privacy,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
2026-07-16,2026-07-17,nectar-ai,Nectar AI,Visual creator flow,https://companioncost.com/guides/nectar-ai-before-you-pay/,https://companioncost.com/guides/nectar-ai-before-you-pay/,https://trynectar.ai/,"Official pages allow starting or creating, but current free limits, paywall timing, and feature limits still need product-side verification.","Creator flow checkout, then image, video, or customization limits",false,Current official product sources checked; stable public numeric checkout price not verified,No stable public numeric price is used on Companion Cost yet. Verify current checkout before paying.,Checkout verification needed,Feature and checkout dependent,Image/video/custom-character-heavy use may exceed the base plan,Needs checkout and product verification before a stronger claim.,"Image generation, video, character creation, reference-photo use, retries, roleplay features, private galleries, upgrades, renewal, and checkout add-ons may change the real 30-day cost.",Official pages present image and video features. Treat visual-heavy use as the main cost-risk scenario until exact included limits and paid-generation rules are verified.,"Official terms say subscriptions may recur and can be canceled through profile settings or by contacting support/Discord, with access generally continuing until the end of the paid period. Verify the current account route before relying on it.",Official terms say paid subscription fees are non-refundable except as required by law or case-by-case exceptions. Verify the current terms and checkout before paying.,Official terms say account deletion is available by following app or site instructions. The exact current in-app deletion flow still needs product-side verification.,"Official privacy page says security measures are used but cannot guarantee against breach. Review privacy, upload, account, and deletion wording before sharing private images or identifying details.",Verify from checkout or payment receipt.,"Use the media-cost and private-upload checks, then verify the current Nectar checkout before paying.",2026-07-10 official sources and Everflow tracking link checked; paid hands-on test: not completed yet,Paid hands-on test: not completed yet.,4,https://trynectar.ai/ | https://trynectar.ai/tos | https://trynectar.ai/privacy | https://trynectar.ai/girls/create,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
2026-07-16,2026-07-17,kupid-ai,Kupid AI,Body setup and adult chat,https://companioncost.com/guides/custom-ai-girlfriend-character-creator-before-you-pay/,https://companioncost.com/guides/custom-ai-girlfriend-character-creator-before-you-pay/,https://www.kupid.ai/,"Official AI Girlfriend page says sign-up includes unlimited chat for free, hot actions unlocked in chat, create your own AI, and access to spicy content. The direct create page says no card is needed to start, but actual limits, paywall timing, media rules, and renewal remain checkout-dependent.","Free builder or chat start, then adult-chat, media, or upgrade limits",false,Current official free-start and feature claims checked; numeric checkout price not verified,No stable numeric public price is used on Companion Cost yet. Verify the current Kupid checkout before paying.,Free-start session if current page allows it,Checkout verification needed after builder or spicy chat pull,"Adult chat, images, videos, voice notes, character creation, and upgrades may exceed the first visible plan","Needs checkout and product verification before a stronger claim. Do not assume adult chat, images, video, voice notes, body/preference controls, or custom-character actions are unlimited after signup.","Create-girlfriend flow, adult chat, body and preference controls, relationship setup, images, videos, voice notes, locked or spicy content, profile choices, upgrades, renewals, and repeated media actions can change the real cost.","Official terms say media can include images, videos, and voice notes, and the AI sex chat page describes custom images and videos. Price and limits should be checked before visual-heavy use, private upload, or repeated adult chat.",Official terms say subscription rebilling cancellation requests go through support email. Verify the current account and checkout route before relying on cancellation.,"Official terms say digital product sales are final and non-refundable once provided, and say subscriptions accessed or used after purchase are not refunded, returned, or canceled. Verify current terms before paying.","Official privacy policy says personal information may usually be retained for six years after account closure, subject to requirements. Exact in-app account deletion and content deletion steps still need product-side verification.","Official terms warn users not to disclose sensitive personal information in AI companion conversations, say security cannot be guaranteed, and say moderation may include automated checks and manual review. Official privacy policy lists account, content, communication, device, usage, analytics, advertising, and sensitive-information caveats.",Official terms say payments are processed by SNB Technologies LTD. Verify the visible billing descriptor from checkout or receipt before relying on it.,"Use the builder or adult-intent check, then verify Kupid checkout, media limits, refund wording, cancellation, and privacy before paying.",2026-07-14 official sources and partner screenshots checked; paid hands-on test: not completed yet,Paid hands-on test: not completed yet.,3,https://www.kupid.ai/ai-girlfriend | https://www.kupid.ai/terms-of-service | https://www.kupid.ai/privacy-policy,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
2026-07-16,2026-07-17,ourdream-ai,OurDream AI,Deluxe annual and dreamcoin media,https://companioncost.com/guides/ourdream-ai-deluxe-annual-before-you-pay/,https://companioncost.com/guides/ourdream-ai-deluxe-annual-before-you-pay/,https://ourdream.ai/,"Official site is 18+ and allows account/product exploration, but current free limits and paywall timing need product-side verification.","Subscription or Deluxe annual checkout, then dreamcoin-heavy media use",true,"Official monthly price found; annual examples conflict, so final checkout total must be verified","Official help lists monthly at $19.99/month with 1,000 dreamcoins, but annual examples conflict and final checkout must be verified.",$19.99/month if current checkout matches official monthly help,Checkout-dependent annual or Deluxe annual total,$359.88 Deluxe annual context plus dreamcoin-heavy media use,Official help says paid subscribers receive dreamcoins and lists media actions that can consume dreamcoins. Exact current plan allowances and renewal timing should be verified at checkout.,"Image generation, image editing, in-chat images, video seconds, ultra/enhanced video, voice calls, narration, chatbot creation, community packs, annual upgrades, and renewal can change real cost.","Official help lists examples including in-chat image costs, voice-call per-minute costs, and video dreamcoin costs per 5 seconds. Visual-heavy use should be modeled before paying.","Official help says subscription cancellation is available through profile/account cancellation steps, with access typically retained until the billing period ends. Verify the current route before paying.","Official help describes refund eligibility limits, product-use limits, no automatic refunds for cancellation, and different refund handling for card and crypto payments. Verify current terms before relying on a refund.","Official help says account deletion is permanent, removes characters, generations, chat history, unused coins, and access, and can take 24-48 hours to process; active subscriptions are described as automatically canceled during deletion.","Official safety and help pages describe adult creative use, no minor content, no real-person likeness policy, no selling chats, account deletion, and no reference-photo uploads due to deepfake/legal concerns. Do not treat this as complete privacy or safety.",Verify from checkout or receipt.,"Check dreamcoin burn and refund risk, then verify the current OurDream checkout total before paying.","2026-07-11 official sources, affiliate page, and Everflow dashboard captures checked; paid hands-on test: not completed yet",Paid hands-on test: not completed yet.,9,https://ourdream.ai/ | https://help.ourdream.ai/ | https://help.ourdream.ai/en/articles/8757441 | https://help.ourdream.ai/en/articles/8717377 | https://help.ourdream.ai/en/articles/7617729 | https://help.ourdream.ai/en/articles/8717633 | https://help.ourdream.ai/en/articles/10808513 | https://help.ourdream.ai/en/articles/11104449 | https://safety.ourdream.ai/introduction,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
2026-07-16,2026-07-17,redchat-ai,RedChat,Adult roleplay and repeated reveals,https://companioncost.com/guides/redchat-before-you-pay/,https://companioncost.com/pricing/redchat-ai/,https://www.redchat.app/,"Official docs say default-model chat is unlimited on every tier and the signed-in perks table includes a Free plan. Premium usage, images, album unlocks, Auto Summary, and RP/SP spend can still apply.","Silver or Gold membership, then RP/SP use for premium models and media",true,Signed-in Silver and Gold prices observed; plan-state mismatch and final checkout still need confirmation,"Signed-in pricing screen observed Gold Membership at $24.99/month and the perks table showed Silver at $7.99/mo. A separate profile/settings check displayed Free Member / Free Plan on the review account, creating a plan-status mismatch that still needs RedChat confirmation.",Free-start or browse session if the current product flow allows it,$7.99/mo Silver or $24.99/mo Gold plus RP/SP use depending on feature choices,"Story Point packs, image generation, album unlocks, premium-model overage, Mood Snap unlocks, larger balances, renewals, or upgrades can exceed the first visible plan","Official docs describe RP as a permanent currency that never expires and is spent on premium-model usage after weekly allowance plus extras such as image generation, Mood Snap unlocks, longer replies, and Auto Summary on Free/Silver. The app pricing route uses Story Point / SP wording, so current UI wording should be checked before paying.","Adult chat momentum, premium model usage after allowance, image generation, album unlocks, Mood Snap unlocks, longer replies, Auto Summary on lower tiers, upgrades, monthly or yearly plans, RP/SP packs, renewals, and larger discounted balances can change real cost.","Signed-in pricing screen showed image generation at 100 SP/use and album unlocks at 50 SP/use on Free/Silver, with Gold shown as included/free. Official GitBook cost docs say image generation is 300 RP each and Mood Snap unlock is 50 RP each. Verify the current UI and checkout before visual-heavy use because official docs and app screen are not perfectly aligned.","Official policy says cancellation stops future renewals and access continues until the end of the current billing period. On the Free review account, Settings and Payment History did not show a paid-subscription manage/cancel control, so the exact paid-user cancellation click path still needs RedChat or paid-account confirmation.","Official Subscription & Refund Policy says RP is non-refundable and non-transferable, and RedChat does not refund unused time, mid-cycle cancellation, downgrades, disliked content, or moderation actions except where law or policy requires.",Signed-in account UI showed Profile / user menu > Settings > Account > Delete Account on 2026-07-14. The destructive step was not opened. Whether that final flow deletes chats/generated content or requires a separate privacy/support request still needs RedChat confirmation.,"Official privacy policy treats intimate conversations and adult imagery as sensitive/special-category personal data, says RedChat does not sell personal information, and says private chats/generated adult images are not used to train models serving other users unless the user explicitly opts in. It also says content may be processed by AI model providers, hosting subprocessors, and moderation systems.",Payment History was checked on the Free review account and showed no payment history found. Verify descriptor from checkout or receipt; do not assume the bank statement descriptor from the product name or affiliate email.,"Use the RedChat pre-pay page, then verify current plan state, checkout total, tax, payment descriptor, renewal, RP/SP burn, paid cancellation click path, refund wording, deletion scope, and privacy before paying.","2026-07-14 official app routes, signed-in pricing, profile/settings, payment history, referral route, GitBook 33-page index, linked Channel.io help pages, and partner email checked; paid hands-on test: not completed yet",Review-account pricing and policy routes checked; paid hands-on test: not completed yet.,15,https://www.redchat.app/ | https://www.redchat.app/subscription-price | https://powerfan-1.gitbook.io/redchat.app/policies/terms-and-conditions.md | https://powerfan-1.gitbook.io/redchat.app/policies/privacy-policy.md | https://powerfan-1.gitbook.io/redchat.app/policies/subscription-refund-policy.md | https://powerfan-1.gitbook.io/redchat.app/guides/red-points-and-costs.md | https://powerfan-1.gitbook.io/redchat.app/faq/faq-plans-rp.md | https://www.redchat.app/settings | https://www.redchat.app/payment-history | https://powerfan-1.gitbook.io/redchat.app/llms.txt | https://powerfan-1.gitbook.io/redchat.app/policies/content-safety-guidelines.md | https://powerfan-1.gitbook.io/redchat.app/policies/links.md | https://www.redchat.app/referral | https://docs.channel.io/storychatdocs/en/articles/Referral-Program-f03a0e4f | https://www.redchat.app/my-profile,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
2026-07-16,2026-07-17,ohchat,OhChat,Licensed creator familiarity and PPV access,https://companioncost.com/guides/ohchat-before-you-pay/,https://companioncost.com/pricing/ohchat/,https://www.ohchat.com/,"The public site can introduce the companion and creator experience, but current free-message limits, preview limits, paywall timing, and media access were not verified. Do not assume a preview means continued text, voice, images, video, or streams remain free.","Initial paid purchase, then subscription renewal, PPV media, bundles, or premium interactions",false,Official subscription and PPV terms verified; current numeric consumer billing price not verified,No stable public numeric checkout price is used on Companion Cost yet. Verify the current OhChat billing page before paying.,Browse or preview only if the current route allows it,Verify the initial paid purchase plus likely PPV or premium use,"Subscription renewal plus repeated PPV media, premium interactions, bundles, or enhanced AI content","No reliable public allowance table was verified. Before paying, confirm what the first purchase includes and whether continued chat, voice, images, video, streams, PPV reveals, or premium interactions require separate purchases.","Creator familiarity, one-more-message momentum, PPV media, premium interactions, media bundles, enhanced AI content, voice, image, video, live-cam-style streams, renewals, and repeated reveals can raise the real 30-day cost.","Official product and terms pages describe text, voice, image, video, and stream-style experiences plus PPV or premium content. Exact current prices, included media, retries, and access duration require live product and billing verification.","Official terms say a subscription can be canceled to stop future renewal, while access and charges for the current billing period are not automatically reversed. Verify the current account or support route before relying on cancellation.","Official terms say subscriptions are generally not refunded for the current period after cancellation, and PPV content, media bundles, premium interactions, and enhanced AI content are final and non-refundable except where law requires otherwise.","Official privacy wording provides a deletion-request contact route and says privacy requests are generally answered within 30 days. The exact current self-service account deletion path and the scope of chat, upload, generated-media, and transaction deletion still need verification.","Official privacy wording covers account and age-confirmation data, IP/device/session data, page and referrer data, transaction status and limited billing metadata, messages, AI interactions, uploads, reports, and moderation flags. Creator likeness licensing does not make a user's own chats, uploads, or billing data automatically private.",Verify the processor and card or bank descriptor on the live billing page and receipt. No universal OhChat statement descriptor was verified from a completed purchase.,"Open the OhChat pre-pay guide first, then verify the initial billing amount, what the purchase unlocks, repeated PPV or premium costs, renewal, refund wording, cancellation route, privacy handling, and deletion scope before paying.","2026-07-16 official homepage, terms, privacy, cookie, 2257, and approved CrakRevenue offer checked; paid hands-on test: not completed yet",Paid hands-on test: not completed yet.,5,https://www.ohchat.com/ | https://www.ohchat.com/terms | https://www.ohchat.com/privacy-policy | https://www.ohchat.com/cookie-policy | https://www.ohchat.com/2257,Companion Cost. AI Girlfriend App Cost Dataset 2026. Version 2026-07-16. https://companioncost.com/data/ai-girlfriend-app-cost-dataset-2026/,https://creativecommons.org/licenses/by/4.0/
